,name,latitude,longitude,distance,climb,descent,hours,minutes,seconds,difficulty
0,#10 Mine Trail,33.43741,-86.88516,0.164204598,84,2,0,0,56,1
1,#14 Connector Trail,33.45814,-86.85563,0.24147735,36,71,0,1,32,2
2,17th Ohio Battery Trail,30.73432,-87.91012,0.528219866,38,34,0,4,0,2
3,2-Star Betty,33.69728,-85.79924,0.720833564,31,43,0,5,22,1
4,265 Loop,30.77967,-88.09737,0.736174478,71,68,0,5,47,2
5,4-Ball Trail,34.80733,-87.69741,0.378409212,67,31,0,6,29,2
6,Abby Road,34.66642,-86.65241,0.778598734,129,30,0,4,46,2
7,Access Trail,32.56475,-85.45842,0.17784096600000002,75,53,0,1,48,1
8,Access Trail,33.24953,-87.06896,0.210795522,43,1,0,2,49,1
9,Access Trail,31.2111,-85.45669,0.058143958,28,2,0,0,22,1
10,Access Trail,33.63057,-86.60216,0.6106062560000001,68,17,0,6,56,1
11,Access Trail Short,30.7791,-88.10915,0.736174478,21,36,0,0,13,0
12,ACOM Trail,31.20612,-85.3427,1.8000005760000002,138,122,0,12,10,1
13,Alms House Trail,34.74342,-86.54396,1.7000005440000001,56,307,0,16,18,3
14,Altamont Park Trail,33.51012,-86.76525,0.22613643600000002,28,21,0,0,32,1
15,Alum Hollow,34.58988,-86.50973,1.200000384,63,190,0,14,44,2
16,Antique Creek,33.26971,-87.53216,0.35359859800000004,38,23,0,3,57,3
17,Apache,34.68258,-86.63836,0.7126896220000001,44,28,0,7,16,1
18,Apache Trail,31.48464,-85.63666,1.4000004480000001,61,68,0,10,32,2
19,Apollo,34.6609,-86.64169,0.8435608760000001,51,170,0,8,41,2
20,Armadillo Alley,32.54687,-85.48704,0.458522874,43,41,0,3,9,2
21,Arrowhead Trail,34.72136,-86.53737,4.700001504,472,867,1,12,21,3
22,Artemis,34.66752,-86.64335,0.7719699440000001,17,297,0,7,2,3
23,Baby Bear,33.60776,-85.91265,1.1000003520000001,116,114,0,16,7,1
24,Backside Loop,32.63013,-86.24979,2.2000007040000003,338,270,0,21,23,2
25,Baltzell to Yahoo,33.69057,-85.79094,2.3000007360000003,224,410,0,27,1,2
26,Bankhead Trail (Aka RMAD),34.74425,-86.54467,1.7000005440000001,271,13,0,17,26,2
27,Bartram Trail,32.47874,-85.56392,4.300001376,610,821,0,43,16,2
28,Base CAMP Trail,32.55339,-85.47527,0.29640161000000004,27,29,0,4,30,1
29,Bastard Loop,32.62955,-86.24613,0.388825882,94,90,0,4,45,2
30,Beach Loop,30.78508,-88.10311,0.528219866,38,40,0,1,57,1
31,Beaver Tail Flats,31.21858,-85.46586,0.9280306,164,165,0,6,47,1
32,Belly Mine,33.21329,-87.46206,0.9761366760000001,115,108,0,7,27,2
33,Betwixt,34.71396,-86.43357,0.3977274,7,16,0,3,39,1
34,Bevil Alternate,34.3723,-86.2125,0.76799267,112,26,0,7,43,2
35,Big Bluff Trail,34.69835,-86.44506,1.900000608,108,334,0,27,32,2
36,Big Levee - East,31.21183,-85.44368,2.00000064,115,157,0,15,28,2
37,Big Levee - West,31.2156,-85.44657,0.634848688,97,75,0,4,24,2
38,Big Levee Advanced Trail,31.21578,-85.44449,0.307007674,6,8,0,3,58,3
39,Big Pimpin' #2,34.81455,-87.69334,1.7000005440000001,282,398,0,15,47,2
40,Bill And Marion Certain Trail,34.65698,-86.5167,1.8000005760000002,386,132,0,23,44,3
41,Bills Creek Loop 63B,33.19883,-86.18251,2.9000009280000003,325,329,0,19,11,2
42,Black Creek East Loop,33.62151,-86.79459,0.203219762,2,2,0,1,35,1
43,Black Creek Loop #1,33.33171,-86.86268,1.4000004480000001,114,107,0,9,34,1
44,Black Creek Park,33.62156,-86.79675,0.597159282,9,8,0,18,12,1
45,Black Creek Rails to Trails,33.62178,-86.79892,5.50000176,162,122,0,27,5,1
46,Black Forest,30.7795,-88.09374,1.900000608,178,175,0,16,53,2
47,Black Hawk,34.69167,-86.64126,0.8928033160000001,286,35,0,27,18,3
48,Black Ridge Loop #3,33.33079,-86.86395,1.8000005760000002,265,272,0,13,8,2
49,Blackhawk Trail,31.47452,-85.63718,1.300000416,245,152,0,6,41,2
50,Blake's Cabin Trail,34.69691,-86.43944,2.00000064,254,181,0,23,22,2
51,Blowhard,33.64495,-85.85105,0.450568326,155,8,0,8,26,1
52,Blue Gravity,33.60865,-85.91702,0.5554926020000001,48,231,0,2,39,2
53,Blue Trail,30.69775,-88.19499,1.1000003520000001,205,191,0,8,26,2
54,Bluff Line Trail,34.74407,-86.54438,2.5000008,556,202,0,22,53,4
55,Bluff Trail,30.77926,-88.09722,1.900000608,154,165,0,16,6,2
56,BMRR North Trail,33.44165,-86.88687,2.00000064,147,3,0,14,57,1
57,BMRR South Trail,33.45458,-86.85585,2.100000672,188,304,0,9,21,1
58,Bog Trail,34.7334,-86.50886,0.29450767,57,14,0,2,23,1
59,Bomb Dog,33.61979,-85.88632,4.900001568,375,1027,0,53,11,2
60,Bostick,34.81744,-86.6242,1.4000004480000001,171,159,0,14,52,3
61,Bottoms Start,30.69774,-88.1961,0.6821971880000001,23,4,0,6,28,1
62,Boulder Ridge,33.33337,-86.72258,1.4000004480000001,303,322,0,50,4,4
63,Breastworks,30.73717,-87.92423,0.310037978,50,27,0,2,49,1
64,Brutality,33.26191,-87.52739,0.589772916,54,59,0,6,53,3
65,Buddy Powell,33.25656,-87.52872,0.52935623,11,45,0,4,39,2
66,Buddy Powell Loop,33.25882,-87.52908,0.42064407400000003,24,30,0,2,4,1
67,Buffalo Rock,34.3894,-86.21642,0.94318212,113,191,0,11,41,3
68,Bull Frog,33.62278,-85.88276,0.193371274,46,26,0,1,21,2
69,Bulldog Trail,34.77792,-86.55424,0.8494320900000001,55,95,0,10,25,2
70,Bullwinkle,33.6471,-85.8446,0.47784106200000004,52,31,0,5,37,1
71,Bunny,33.64294,-85.85376,0.219507646,49,87,0,2,55,1
72,Butler Pass,34.39005,-86.21387,1.200000384,407,214,0,17,12,2
73,Buzzard's Roost,34.75048,-86.54278,0.39962134000000005,84,5,0,7,10,2
74,Buzzards Falls,34.58961,-86.5222,0.203219762,4,9,0,1,51,2
75,Buzzards Falls,34.5895,-86.52148,0.633144142,34,19,0,6,11,2
76,C. C. Sykes,33.70545,-85.79855,1.200000384,132,115,0,8,50,2
77,Cahaba Shoals Loop,33.17714,-87.01497,2.00000064,289,289,0,21,0,2
78,CAMP's Trail,32.55413,-85.4774,0.8121214720000001,72,72,0,6,52,1
79,Campground Trail (Silver Trail),34.50078,-85.63428,1.300000416,54,279,0,11,34,2
80,Cannon Ball Loop,33.24734,-87.06245,1.300000416,175,247,0,7,33,2
81,Cannonball Run,30.73829,-87.90749,1.300000416,158,64,0,13,1,2
82,Cannonball Run extension,30.73402,-87.89967,0.671022942,27,27,0,7,7,2
83,Cascade,34.0416,-86.02816,1.00000032,113,116,0,6,37,1
84,Cascade East,34.04319,-86.02386,0.475947122,13,20,0,5,56,1
85,Cassidy,33.61975,-85.90093,1.300000416,579,175,0,24,28,2
86,Cat Dog Snake,33.35238,-86.71842,1.1000003520000001,180,182,0,8,29,2
87,Cave,34.37971,-86.21469,0.7723487320000001,37,233,0,8,55,2
88,Cave Alternative,34.38684,-86.21705,0.502651676,210,13,0,9,57,2
89,CCC Quarry Trail,34.50158,-85.61909,1.600000512,351,42,0,27,15,2
90,CCC trail,32.54988,-85.48275,2.3000007360000003,285,306,0,18,54,1
91,Cemetery Loop,30.78304,-88.10411,0.681060824,84,81,0,8,51,2
92,Cemetery Loop,33.2631,-87.52733,0.26723493400000004,10,3,0,1,48,1
93,Cemetery Loop Connector,30.78393,-88.10252,0.136553074,28,7,0,1,1,2
94,Cemetry Loop,30.78169,-88.10452,1.600000512,108,122,0,18,35,2
95,Centipede,33.30918,-86.76196,0.8001896500000001,98,74,0,7,23,2
96,Chalet Alt,34.48999,-85.6085,0.524242592,12,42,0,3,37,1
97,Chalet Trail,34.49232,-85.61647,0.6903411300000001,172,118,0,4,32,1
98,Chasco Trail,34.77435,-86.548,0.45549257000000004,26,27,0,3,42,1
99,Cheaha Express,33.47764,-85.80861,2.3000007360000003,421,209,0,40,38,2
100,Cheaha Run,33.4897,-85.81074,0.35416678,43,5,0,7,20,1
101,Chewacla DH,32.54892,-85.47671,0.16856066,6,164,0,4,15,4
102,Chilowhee,33.64109,-85.84894,4.800001536,721,897,0,45,31,2
103,Chinook,34.68595,-86.65543,0.9767048580000001,43,256,0,10,22,2
104,Claymore,34.6871,-86.64872,0.939583634,12,246,0,10,1,3
105,Coaster Trail,30.78052,-88.09769,3.100000992,12,12,0,4,22,2
106,Cobra,34.68771,-86.65149,0.5691289700000001,7,30,0,5,38,2
107,COGS Loop 63C,33.19914,-86.18326,2.00000064,240,243,0,18,35,2
108,Col Rinaker Trail,30.73692,-87.9114,0.259090992,31,10,0,2,31,2
109,Cold Springs Connector,34.74626,-86.52392,0.042234862000000005,11,12,0,1,10,2
110,Cold Springs Trail,34.74743,-86.51758,0.959659398,105,237,0,5,53,4
111,Cold Springs Trail,34.74775,-86.53228,0.210606128,20,67,0,2,32,4
112,Colonel Black Trail,30.7464,-87.90874,0.164583386,3,16,0,0,43,2
113,Comanche,34.69777,-86.65374,0.762500244,17,52,0,5,51,1
114,Confederate Line Trail,30.73943,-87.91922,0.7670457,17,30,0,4,52,1
115,Connector,33.25426,-87.06268,0.291477366,135,58,0,2,44,2
116,Connector,33.21529,-87.44483,0.984280618,138,148,0,8,34,2
117,Connector A,31.21626,-85.45613,0.738447206,94,111,0,3,54,1
118,Connector B,31.21626,-85.45613,0.552841086,161,134,0,3,7,1
119,Cowboy Bebop,31.33523,-85.73093,0.74431842,78,28,0,6,31,1
120,Crazy Train,34.71313,-86.43846,0.254166748,29,33,0,6,39,2
121,Creek,33.26233,-87.53057,0.407007706,28,30,0,3,53,2
122,Creek Path,34.03726,-86.03572,0.600189586,19,18,0,4,51,1
123,Creek Trail (North),32.4143,-86.22546,0.3314395,14,5,0,2,9,1
124,Creek Trail (South),32.41032,-86.22673,0.780492674,40,12,0,4,33,1
125,Creek View Trail,32.54798,-85.48166,1.300000416,107,70,0,13,11,2
126,Creekside,33.21312,-87.45922,0.6356062640000001,72,96,0,4,20,2
127,Creekside,33.63615,-86.869,0.51704562,47,51,0,9,23,2
128,Creekview Loop #4,33.33312,-86.86432,0.566666848,24,46,0,4,17,2
129,Cut Off,34.50495,-85.63617,0.278977362,2,52,0,2,4,1
130,Cutchemine,34.3723,-86.2125,2.400000768,538,610,0,27,18,2
131,Dallas Branch,34.75206,-86.53986,0.365151632,148,2,0,5,5,2
132,Dark Side (phase 1),34.49396,-85.6461,2.00000064,137,141,0,22,6,1
133,Dead Armadillo,33.26094,-87.52958,0.116287916,2,5,0,0,44,3
134,Death by Concrete,33.26206,-87.5309,0.17897733000000002,6,5,0,1,50,3
135,Deer Rub Trail,32.54887,-85.47665,0.5791668520000001,47,142,0,9,47,4
136,Deer Run,33.49396,-85.80396,1.1000003520000001,150,66,0,14,30,2
137,Dell's Trail,32.55299,-85.47822,0.39015164,11,11,0,4,58,3
138,Della Ray Loop,33.26934,-87.53393,0.876136644,73,71,0,9,18,2
139,Devil's Driveway,32.62646,-86.24655,0.35000011200000003,12,62,0,3,38,2
140,Devil's Racetrack Lower,34.8078,-86.58983,0.617613834,61,25,0,6,31,2
